x_p       y_p       z_p       md1_p     m1z_p     ph1_p     x0s_p     y0s_p     Z0s_p   x1_p  y1_p    z1_p  x2_p   y2_p  z2_p  dc1_p   dc2_p  d_dc1   d_dc2  radius  mod2_p
   -59.926   -90.294    -1.570     0.112    -0.027   -23.566   -60.121   -90.427    -0.518   -61.000   -86.000     0.000     0.000     0.000     0.000        43.652       0.00000   0.04668   0.00000   1.00000   0.00000   0.00000
   -59.952   -90.425    -2.326     0.039    -0.019    -3.073   -60.039   -90.462    -1.570   -61.000   -86.000     0.000     0.000     0.000     0.000        44.218       0.00000   0.05787   0.00000   1.00000   0.00000   0.00000
   -59.991   -90.590    -1.236     0.081     0.028    87.618   -60.008   -90.464    -2.326   -61.000   -86.000     0.000     0.000     0.000     0.000        44.000       0.00000   0.05183   0.00000   1.00000   0.00000   0.00000
   -59.908   -90.550    -2.737     0.089    -0.038    49.788   -60.006   -90.400    -1.236   -61.000   -86.000     0.000     0.000     0.000     0.000        44.069       0.00000   0.04666   0.00000   1.00000   0.00000   0.00000
   -60.026   -90.616    -1.735     0.146     0.025   108.308   -59.960   -90.346    -2.737   -61.000   -86.000     0.000     0.000     0.000     0.000        44.457       0.00000   0.04681   0.00000   1.00000   0.00000   0.00000
   -60.027   -90.440    -2.021     0.079    -0.007   100.724   -59.997   -90.236    -1.735   -61.000   -86.000     0.000     0.000     0.000     0.000        40.973       0.00000   0.04252   0.00000   1.00000   0.00000   0.00000
   -60.023   -90.218    -1.458     0.009     0.014  -138.567   -60.008   -90.175    -2.021   -61.000   -86.000     0.000     0.000     0.000     0.000        41.026       0.00000   0.04339   0.00000   1.00000   0.00000   0.00000
   -60.004   -90.085    -1.003     0.063     0.012   -83.721   -60.014   -90.179    -1.458   -61.000   -86.000     0.000     0.000     0.000     0.000        41.655       0.00000   0.03993   0.00000   1.00000   0.00000   0.00000
   -59.875   -90.154    -2.001     0.085    -0.025   -19.228   -60.008   -90.229    -1.003   -61.000   -86.000     0.000     0.000     0.000     0.000        39.712       0.00000   0.04110   0.00000   1.00000   0.00000   0.00000
   -59.862   -90.207    -2.410     0.044    -0.010   -19.857   -59.945   -90.251    -2.001   -61.000   -86.000     0.000     0.000     0.000     0.000        40.005       0.00000   0.03988   0.00000   1.00000   0.00000   0.00000
   -59.882   -90.171    -1.500     0.050     0.023   -76.228   -59.912   -90.263    -2.410   -61.000   -86.000     0.000     0.000     0.000     0.000        39.463       0.00000   0.04397   0.00000   1.00000   0.00000   0.00000
   -59.810   -90.097    -1.505     0.121    -0.000   -63.775   -59.902   -90.301    -1.500   -61.000   -86.000     0.000     0.000     0.000     0.000        37.480       0.00000   0.04928   0.00000   1.00000   0.00000   0.00000
   -59.776   -90.275    -0.498     0.055     0.025   -36.122   -59.860   -90.387    -1.505   -61.000   -86.000     0.000     0.000     0.000     0.000        38.652       0.00000   0.06114   0.00000   1.00000   0.00000   0.00000
   -59.666   -90.281    -1.350     0.110    -0.022   -34.957   -59.825   -90.413    -0.498   -61.000   -86.000     0.000     0.000     0.000     0.000        39.243       0.00000   0.06247   0.00000   1.00000   0.00000   0.00000
   -59.718   -90.530    -0.757     0.063     0.015    80.062   -59.753   -90.463    -1.350   -61.000   -86.000     0.000     0.000     0.000     0.000        40.961       0.00000   0.06721   0.00000   1.00000   0.00000   0.00000
   -59.653   -90.619    -0.109     0.122     0.016    64.534   -59.745   -90.413    -0.757   -61.000   -86.000     0.000     0.000     0.000     0.000        36.961       0.00000   0.06119   0.00000   1.00000   0.00000   0.00000
   -59.613   -90.547     0.463     0.110     0.014    63.685   -59.703   -90.326    -0.109   -61.000   -86.000     0.000     0.000     0.000     0.000        35.042       0.00000   0.05418   0.00000   1.00000   0.00000   0.00000
   -59.473   -90.548     1.242     0.182     0.020    52.872   -59.665   -90.248     0.463   -61.000   -86.000     0.000     0.000     0.000     0.000        33.183       0.00000   0.04732   0.00000   1.00000   0.00000   0.00000
   -59.323   -90.443     0.967     0.198    -0.007    44.220   -59.577   -90.133     1.242   -61.000   -86.000     0.000     0.000     0.000     0.000        31.399       0.00000   0.04317   0.00000   1.00000   0.00000   0.00000
   -59.374   -90.405     0.162     0.184    -0.020    78.099   -59.465   -90.024     0.967   -61.000   -86.000     0.000     0.000     0.000     0.000        32.642       0.00000   0.04565   0.00000   1.00000   0.00000   0.00000
   -59.445   -90.210    -0.819     0.136    -0.025    95.707   -59.435   -89.881     0.162   -61.000   -86.000     0.000     0.000     0.000     0.000        33.235       0.00000   0.04634   0.00000   1.00000   0.00000   0.00000
   -59.463   -89.967    -0.772     0.065     0.001    99.023   -59.446   -89.774    -0.819   -61.000   -86.000     0.000     0.000     0.000     0.000        35.053       0.00000   0.04965   0.00000   1.00000   0.00000   0.00000
   -59.500   -89.816     0.424     0.038     0.030   135.291   -59.454   -89.723    -0.772   -61.000   -86.000     0.000     0.000     0.000     0.000        37.142       0.00000   0.06177   0.00000   1.00000   0.00000   0.00000
   -59.474   -89.793    -0.478     0.042    -0.023    84.761   -59.475   -89.702     0.424   -61.000   -86.000     0.000     0.000     0.000     0.000        35.660       0.00000   0.06175   0.00000   1.00000   0.00000   0.00000
   -59.527   -89.674    -1.984     0.035    -0.038  -159.500   -59.472   -89.669    -0.478   -61.000   -86.000     0.000     0.000     0.000     0.000        34.388       0.00000   0.06122   0.00000   1.00000   0.00000   0.00000
   -59.559   -89.678    -2.823     0.033    -0.021   179.404   -59.498   -89.679    -1.984   -61.000   -86.000     0.000     0.000     0.000     0.000        35.921       0.00000   0.05507   0.00000   1.00000   0.00000   0.00000
   -59.677   -89.778    -1.568     0.107     0.032   145.864   -59.524   -89.679    -2.823   -61.000   -86.000     0.000     0.000     0.000     0.000        37.316       0.00000   0.04672   0.00000   1.00000   0.00000   0.00000
   -59.619   -89.827    -0.870     0.101     0.018    92.668   -59.595   -89.631    -1.568   -61.000   -86.000     0.000     0.000     0.000     0.000        37.513       0.00000   0.05368   0.00000   1.00000   0.00000   0.00000
   -59.622   -89.752    -0.803     0.089     0.002    97.545   -59.598   -89.551    -0.870   -61.000   -86.000     0.000     0.000     0.000     0.000        37.321       0.00000   0.05583   0.00000   1.00000   0.00000   0.00000
   -59.672   -89.586    -0.730     0.048     0.002   140.940   -59.608   -89.481    -0.803   -61.000   -86.000     0.000     0.000     0.000     0.000        36.946       0.00000   0.05031   0.00000   1.00000   0.00000   0.00000
   -59.659   -89.433    -0.397     0.032     0.008  -107.113   -59.637   -89.457    -0.730   -61.000   -86.000     0.000     0.000     0.000     0.000        35.345       0.00000   0.05283   0.00000   1.00000   0.00000   0.00000
   -59.587   -89.502    -0.620     0.041    -0.006    26.185   -59.644   -89.482    -0.397   -61.000   -86.000     0.000     0.000     0.000     0.000        35.075       0.00000   0.04636   0.00000   1.00000   0.00000   0.00000
   -59.510   -89.450    -0.083     0.062     0.014   -13.399   -59.615   -89.467    -0.620   -61.000   -86.000     0.000     0.000     0.000     0.000        34.903       0.00000   0.03872   0.00000   1.00000   0.00000   0.00000
   -59.493   -89.411    -1.809     0.054    -0.044   -44.964   -59.567   -89.479    -0.083   -61.000   -86.000     0.000     0.000     0.000     0.000        34.568       0.00000   0.04119   0.00000   1.00000   0.00000   0.00000
   -59.619   -89.410    -2.302     0.073    -0.012  -138.752   -59.537   -89.509    -1.809   -61.000   -86.000     0.000     0.000     0.000     0.000        34.970       0.00000   0.04741   0.00000   1.00000   0.00000   0.00000
   -59.611   -89.382    -2.537     0.084    -0.006   -99.561   -59.581   -89.546    -2.302   -61.000   -86.000     0.000     0.000     0.000     0.000        34.513       0.00000   0.05018   0.00000   1.00000   0.00000   0.00000
   -59.611   -89.511    -1.614     0.035     0.023  -105.218   -59.592   -89.612    -2.537   -61.000   -86.000     0.000     0.000     0.000     0.000        33.984       0.00000   0.04596   0.00000   1.00000   0.00000   0.00000
   -59.632   -89.833    -0.320     0.134     0.033    98.024   -59.599   -89.639    -1.614   -61.000   -86.000     0.000     0.000     0.000     0.000        35.466       0.00000   0.05276   0.00000   1.00000   0.00000   0.00000
   -59.567   -89.731    -0.973     0.089    -0.017    69.673   -59.614   -89.534    -0.320   -61.000   -86.000     0.000     0.000     0.000     0.000        35.037       0.00000   0.04424   0.00000   1.00000   0.00000   0.00000
   -59.616   -89.585    -0.418     0.043     0.014   115.594   -59.589   -89.468    -0.973   -61.000   -86.000     0.000     0.000     0.000     0.000        35.526       0.00000   0.05142   0.00000   1.00000   0.00000   0.00000
   -59.493   -89.621    -0.634     0.117    -0.005    53.759   -59.604   -89.437    -0.418   -61.000   -86.000     0.000     0.000     0.000     0.000        34.855       0.00000   0.05623   0.00000   1.00000   0.00000   0.00000
   -59.445   -89.440    -1.630     0.059    -0.025    15.390   -59.550   -89.362    -0.634   -61.000   -86.000     0.000     0.000     0.000     0.000        33.946       0.00000   0.04715   0.00000   1.00000   0.00000   0.00000
   -59.470   -89.441    -1.633     0.046    -0.000    72.260   -59.505   -89.350    -1.630   -61.000   -86.000     0.000     0.000     0.000     0.000        36.058       0.00000   0.04306   0.00000   1.00000   0.00000   0.00000
   -59.571   -89.361    -2.358     0.051    -0.018   165.582   -59.494   -89.315    -1.633   -61.000   -86.000     0.000     0.000     0.000     0.000        37.212       0.00000   0.05043   0.00000   1.00000   0.00000   0.00000
   -59.668   -89.281    -2.000     0.080     0.009  -164.323   -59.533   -89.305    -2.358   -61.000   -86.000     0.000     0.000     0.000     0.000        36.874       0.00000   0.05096   0.00000   1.00000   0.00000   0.00000
   -59.571   -89.290    -1.817     0.027     0.005   -32.561   -59.594   -89.322    -2.000   -61.000   -86.000     0.000     0.000     0.000     0.000        35.962       0.00000   0.04673   0.00000   1.00000   0.00000   0.00000
   -59.502   -89.260    -1.195     0.059     0.016   -41.628   -59.576   -89.334    -1.817   -61.000   -86.000     0.000     0.000     0.000     0.000        35.186       0.00000   0.04948   0.00000   1.00000   0.00000   0.00000
   -59.408   -89.245    -0.554     0.097     0.016   -38.246   -59.541   -89.365    -1.195   -61.000   -86.000     0.000     0.000     0.000     0.000        34.562       0.00000   0.04951   0.00000   1.00000   0.00000   0.00000
   -59.365   -89.190    -1.780     0.130    -0.031   -61.721   -59.481   -89.412    -0.554   -61.000   -86.000     0.000     0.000     0.000     0.000        33.762       0.00000   0.04763   0.00000   1.00000   0.00000   0.00000
   -59.381   -89.278    -2.339     0.101    -0.014   -76.750   -59.432   -89.502    -1.780   -61.000   -86.000     0.000     0.000     0.000     0.000        32.534       0.00000   0.04685   0.00000   1.00000   0.00000   0.00000
   -59.355   -89.347    -2.231     0.109     0.003   -73.215   -59.414   -89.580    -2.339   -61.000   -86.000     0.000     0.000     0.000     0.000        30.763       0.00000   0.04410   0.00000   1.00000   0.00000   0.00000
   -59.333   -89.528    -2.511     0.053    -0.007   -55.459   -59.389   -89.663    -2.231   -61.000   -86.000     0.000     0.000     0.000     0.000        29.740       0.00000   0.04909   0.00000   1.00000   0.00000   0.00000
   -59.352   -89.734    -0.837     0.043     0.042    84.906   -59.365   -89.698    -2.511   -61.000   -86.000     0.000     0.000     0.000     0.000        29.817       0.00000   0.05318   0.00000   1.00000   0.00000   0.00000
   -59.292   -89.899    -0.682     0.140     0.004    72.767   -59.362   -89.664    -0.837   -61.000   -86.000     0.000     0.000     0.000     0.000        29.095       0.00000   0.04973   0.00000   1.00000   0.00000   0.00000
   -59.298   -89.642    -0.216     0.018     0.012    33.809   -59.329   -89.558    -0.682   -61.000   -86.000     0.000     0.000     0.000     0.000        29.900       0.00000   0.06292   0.00000   1.00000   0.00000   0.00000
   -59.113   -89.498    -1.774     0.129    -0.039   -19.485   -59.318   -89.550    -0.216   -61.000   -86.000     0.000     0.000     0.000     0.000        27.993       0.00000   0.07491   0.00000   1.00000   0.00000   0.00000
   -59.082   -89.517    -1.442     0.078     0.008   -23.056   -59.222   -89.584    -1.774   -61.000   -86.000     0.000     0.000     0.000     0.000        29.855       0.00000   0.06530   0.00000   1.00000   0.00000   0.00000
   -59.054   -89.749    -0.982     0.112     0.012    59.452   -59.165   -89.608    -1.442   -61.000   -86.000     0.000     0.000     0.000     0.000        30.083       0.00000   0.05351   0.00000   1.00000   0.00000   0.00000
   -59.075   -89.541    -3.088     0.028    -0.053   -47.755   -59.120   -89.532    -0.982   -61.000   -86.000     0.000     0.000     0.000     0.000        28.935       0.00000   0.04532   0.00000   1.00000   0.00000   0.00000
   -59.145   -89.367    -3.294     0.113    -0.005  -104.450   -59.105   -89.548    -3.088   -61.000   -86.000     0.000     0.000     0.000     0.000        29.625       0.00000   0.04228   0.00000   1.00000   0.00000   0.00000
   -59.196   -89.476    -3.485     0.075    -0.005  -121.864   -59.127   -89.635    -3.294   -61.000   -86.000     0.000     0.000     0.000     0.000        28.256       0.00000   0.04799   0.00000   1.00000   0.00000   0.00000
   -59.219   -89.570    -4.779     0.055    -0.033  -125.912   -59.158   -89.685    -3.485   -61.000   -86.000     0.000     0.000     0.000     0.000        26.582       0.00000   0.04150   0.00000   1.00000   0.00000   0.00000
   -59.356   -89.675    -3.697     0.100     0.027  -174.715   -59.184   -89.720    -4.779   -61.000   -86.000     0.000     0.000     0.000     0.000        25.054       0.00000   0.05273   0.00000   1.00000   0.00000   0.00000
   -59.480   -89.832    -3.217     0.139     0.012   149.857   -59.263   -89.728    -3.697   -61.000   -86.000     0.000     0.000     0.000     0.000        25.292       0.00000   0.05150   0.00000   1.00000   0.00000   0.00000
   -59.582   -89.936    -1.692     0.185     0.039   130.757   -59.358   -89.673    -3.217   -61.000   -86.000     0.000     0.000     0.000     0.000        27.996       0.00000   0.06009   0.00000   1.00000   0.00000   0.00000
   -59.472   -89.673    -2.909     0.023    -0.031    78.337   -59.454   -89.561    -1.692   -61.000   -86.000     0.000     0.000     0.000     0.000        29.987       0.00000   0.06759   0.00000   1.00000   0.00000   0.00000
   -59.386   -89.699    -2.180     0.089     0.018    62.156   -59.450   -89.544    -2.909   -61.000   -86.000     0.000     0.000     0.000     0.000        30.360       0.00000   0.05968   0.00000   1.00000   0.00000   0.00000
   -59.460   -89.681    -1.908     0.099     0.007   107.440   -59.417   -89.481    -2.180   -61.000   -86.000     0.000     0.000     0.000     0.000        31.197       0.00000   0.05694   0.00000   1.00000   0.00000   0.00000
   -59.494   -89.517    -3.297     0.045    -0.035   131.758   -59.441   -89.407    -1.908   -61.000   -86.000     0.000     0.000     0.000     0.000        30.196       0.00000   0.05474   0.00000   1.00000   0.00000   0.00000
   -59.573   -89.415    -3.440     0.062    -0.004   175.755   -59.465   -89.380    -3.297   -61.000   -86.000     0.000     0.000     0.000     0.000        29.589       0.00000   0.05777   0.00000   1.00000   0.00000   0.00000
   -59.709   -89.413    -3.085     0.113     0.009   171.054   -59.514   -89.376    -3.440   -61.000   -86.000     0.000     0.000     0.000     0.000        29.074       0.00000   0.05256   0.00000   1.00000   0.00000   0.00000
   -59.665   -89.418    -3.454     0.037    -0.009   132.556   -59.602   -89.362    -3.085   -61.000   -86.000     0.000     0.000     0.000     0.000        28.290       0.00000   0.04799   0.00000   1.00000   0.00000   0.00000
   -59.792   -89.474    -3.066     0.121     0.010   143.792   -59.622   -89.341    -3.454   -61.000   -86.000     0.000     0.000     0.000     0.000        28.795       0.00000   0.05033   0.00000   1.00000   0.00000   0.00000
   -59.836   -89.365    -3.064     0.077     0.000   159.934   -59.699   -89.284    -3.066   -61.000   -86.000     0.000     0.000     0.000     0.000        29.353       0.00000   0.04818   0.00000   1.00000   0.00000   0.00000
   -59.841   -89.284    -1.781     0.042     0.032  -179.839   -59.756   -89.263    -3.064   -61.000   -86.000     0.000     0.000     0.000     0.000        28.358       0.00000   0.05031   0.00000   1.00000   0.00000   0.00000
   -59.726   -89.327    -2.498     0.057    -0.018    38.934   -59.789   -89.263    -1.781   -61.000   -86.000     0.000     0.000     0.000     0.000        26.978       0.00000   0.04349   0.00000   1.00000   0.00000   0.00000
   -59.711   -89.285    -1.619     0.030     0.022    40.107   -59.754   -89.235    -2.498   -61.000   -86.000     0.000     0.000     0.000     0.000        25.108       0.00000   0.04292   0.00000   1.00000   0.00000   0.00000
   -59.663   -89.226    -0.956     0.041     0.017    -5.957   -59.736   -89.220    -1.619   -61.000   -86.000     0.000     0.000     0.000     0.000        24.853       0.00000   0.03833   0.00000   1.00000   0.00000   0.00000
   -59.534   -89.273    -3.166     0.102    -0.056    16.903   -59.703   -89.223    -0.956   -61.000   -86.000     0.000     0.000     0.000     0.000        23.939       0.00000   0.03374   0.00000   1.00000   0.00000   0.00000
   -59.461   -89.188    -3.668     0.090    -0.013   -10.319   -59.626   -89.200    -3.166   -61.000   -86.000     0.000     0.000     0.000     0.000        24.513       0.00000   0.03997   0.00000   1.00000   0.00000   0.00000
   -59.526   -89.309    -3.484     0.062     0.005    83.901   -59.556   -89.213    -3.668   -61.000   -86.000     0.000     0.000     0.000     0.000        25.071       0.00000   0.05319   0.00000   1.00000   0.00000   0.00000
   -59.720   -89.156    -5.445     0.108    -0.050  -168.039   -59.551   -89.164    -3.484   -61.000   -86.000     0.000     0.000     0.000     0.000        24.989       0.00000   0.05230   0.00000   1.00000   0.00000   0.00000
   -59.848   -89.114    -4.539     0.125     0.023  -162.304   -59.634   -89.182    -5.445   -61.000   -86.000     0.000     0.000     0.000     0.000        23.404       0.00000   0.05275   0.00000   1.00000   0.00000   0.00000
   -59.936   -89.227    -3.969     0.113     0.014   169.308   -59.729   -89.212    -4.539   -61.000   -86.000     0.000     0.000     0.000     0.000        24.006       0.00000   0.05423   0.00000   1.00000   0.00000   0.00000
   -59.971   -89.214    -2.162     0.079     0.046   174.462   -59.817   -89.195    -3.969   -61.000   -86.000     0.000     0.000     0.000     0.000        25.445       0.00000   0.05858   0.00000   1.00000   0.00000   0.00000
   -59.813   -89.108    -1.859     0.073     0.008   -45.843   -59.879   -89.189    -2.162   -61.000   -86.000     0.000     0.000     0.000     0.000        25.389       0.00000   0.06148   0.00000   1.00000   0.00000   0.00000
   -59.664   -89.136    -2.350     0.111    -0.012   -22.452   -59.839   -89.231    -1.859   -61.000   -86.000     0.000     0.000     0.000     0.000        24.034       0.00000   0.05779   0.00000   1.00000   0.00000   0.00000
   -59.542   -89.166    -1.395     0.127     0.024   -20.319   -59.758   -89.265    -2.350   -61.000   -86.000     0.000     0.000     0.000     0.000        25.251       0.00000   0.06184   0.00000   1.00000   0.00000   0.00000
   -59.554   -89.107    -2.973     0.113    -0.040   -62.875   -59.663   -89.300    -1.395   -61.000   -86.000     0.000     0.000     0.000     0.000        24.263       0.00000   0.05428   0.00000   1.00000   0.00000   0.00000
   -59.602   -89.215    -3.665     0.066    -0.018   -86.269   -59.622   -89.379    -2.973   -61.000   -86.000     0.000     0.000     0.000     0.000        24.234       0.00000   0.06672   0.00000   1.00000   0.00000   0.00000
   -59.541   -89.368    -2.533     0.047     0.029   -15.010   -59.619   -89.432    -3.665   -61.000   -86.000     0.000     0.000     0.000     0.000        24.278       0.00000   0.06592   0.00000   1.00000   0.00000   0.00000
   -59.500   -89.371    -3.320     0.056    -0.020   -36.449   -59.583   -89.441    -2.533   -61.000   -86.000     0.000     0.000     0.000     0.000        23.968       0.00000   0.05776   0.00000   1.00000   0.00000   0.00000
